Rank,State,Composite_Risk,Risk_Level
1,Puducherry,67.31,High
2,Kerala,63.66,Medium
3,Tamil Nadu,62.0,Medium
4,Andhra Pradesh,59.53,Medium
5,Punjab,58.71,Medium
6,Chandigarh,57.69,Medium
7,Goa,57.58,Medium
8,Andaman & Nicobar Islands,55.71,Medium
9,Telangana,53.11,Medium
10,Sikkim,52.21,Medium
11,NCT Delhi,52.02,Medium
12,Lakshadweep,49.39,Medium
13,Ladakh,47.17,Medium
14,West Bengal,45.95,Medium
15,Karnataka,45.94,Medium
16,Tripura,45.52,Medium
17,Gujarat,44.53,Medium
18,Haryana,43.85,Medium
19,Himachal Pradesh,41.52,Medium
20,Odisha,41.39,Medium
21,Dadra & Nagar Haveli and Daman & Diu,39.09,Medium
22,India,39.09,Medium
23,Maharashtra,38.49,Medium
24,Jammu & Kashmir,38.19,Medium
25,Manipur,36.19,Medium
26,Uttarakhand,36.1,Medium
27,Assam,32.81,Low
28,Arunachal Pradesh,30.62,Low
29,Mizoram,30.43,Low
30,Bihar,29.91,Low
31,Madhya Pradesh,27.75,Low
32,Chhattisgarh,26.73,Low
33,Uttar Pradesh,26.5,Low
34,Jharkhand,26.16,Low
35,Nagaland,18.12,Low
36,Rajasthan,17.25,Low
37,Meghalaya,16.92,Low
